	ID по указалю	Wikidata	Комментарий из ПСС	geo																
Суматра, остров	13357	Q3492																		
Сумароков Константин Владимирович	13356		Константин Владимирович Сумароков, в то время помещик, Чернский уездный предводитель дворянства. Дуэль С. Л. Толстого с Сумароковым не состоялась. О столкновении С. Л. Толстого с Сумароковым см. С. Л. Толстой, «Очерки былого», Гослитиздат, М. 1949, стр. 235—237, и Дневник В. Ф. Булгакова, стр. 333 и 334.																	
Растопчина Евдокия Петровна	11542	Q1959117																		
Расторгуев Константин	11543	Q17749073																		
Растворцева Анна Васильевна	11540		В письме от 6 августа со ст. Кисляковка Владикавказской ж. д. Растворцева, больная ревматизмом, просила платить за нее в лечебницу. Ответить отказ[ом]. (Марка.)																	
Растопчин Федор Васильевич	11541	Q742036																		
Расцветов Александр Павлович (Рассветов)	11546	Q24475376																		
Ратаев	11547	Q4390714																		
Расторгуев М.	11544		Ответ на письмо офицера (капитана) М. Расторгуева из Орла от 19 июня 1907 г. (почт. шт.). Расторгуев страдал неизлечимой болезнью и находился в тяжелом душевном состоянии. Мысль о самоубийстве не покидала его. Он спрашивал, какие нравственные силы помогли Толстому перенести тяжелую болезнь в 1901—1902 гг. и оставаться в то время спокойным. Просил сказать ему «хоть слова утешения».																	
Расторгуева Евдокия Н.	11545		В записях Толстого за 1899 г.: "Против Мар[иинской] боль[ницы] Евдокия Н. Расторгуева". Других сведений нет.																	
Ратгауз Даниил Максимович	11548	Q4390735																		
Ратманов Андреян	11549		Ратманов Андреян — дьяк																	
Калайдович Константин Федорович	5988	Q24427746																		
Калам Александр	5989	Q621994																		
«Как заутра выпадала...», песня	5982		В черновых редакциях "Войны и мира": "Уже подъезжая к дому, она вдруг запела мотив песни «Как заутра выпадала», мотив, который она ловила всю дорогу и наконец поймала".																	
«Как под яблоней...», песня	5983		Нет сведений																	
«Как живут китайцы», изд. «Посредник»	5980		Имеется в виду русский перевод книги французского консула в Китае Симона «La cité chinoise» — «Срединное царство», СПб. 1884. Была в извлечениях издана «Посредником» под заглавием: «Как живут китайцы», М. 1889.																	
«Как за садом, садом ходил, гулял молодец...», казачья песня	5981		Автограф F°, 2 л. Один писчий лист бумаги Рейнера (клеймо № 20);. от 2-го полулиста по длине оторвана полоса. Почерк быстрый и небрежный. Содержит тексты пяти казачьих песен: 1) «Из-за садику, саду зеленого»;. 2) «Кто не был, не был за Дунаем»; 3) «В поле при долинушке выросло тут дерево»; 4) «Чаго в лицо бледно (солдатская)»; 5) «Как за садом, садом ходил, гулял молодец». Вероятно, песни выписаны автором из письма Н. Алексеева от марта 1858 г. (см. предыдущий №). Из этих песен первая и последняя взяты в повесть (гл. XXXVIII).																	
Калабрия	5986	Q1458																		
Калабухов Николай Григорьевич	5987		Николай Григорьевич Калабухов (р. 1882) — сын чиновника из Новочеркасска. В 1902—1904 гг. был студентом юридического факультета Московского университета.																	
«Как со вечера пороша...», песня	5984	Q19174213																		
Какабо (король о. Фиджи)	5985		Какабо — король островов Фиджи																	
Первушиных конторы служащие (Гурзуф)	10613		Служащим конторы Первушиных (Гурзуф), середина января. Почтовым переводом от 8 января 1907 г. служащие прислали в пользу голодающих пять рублей. На отрезном купоне помета: «Отв. Л. H.».																	
Кондрашев Михаил Иванович	6796		М. И. Кондрашев, помещик, бывший тульский фабрикант.																	
Кондрашевы	6797		Семья М. И. Кондрашева, помещика, бывшего тульского фабриканта. Бык этого помещика забодал сына (Павла) Марии Ивановны Костиной, крестьянки с. Ливенского (в 7 км от Ясной Поляны). Об этом деле Толстой в августе 1891 г. писал Н. В. Давыдову. См. т. 66.																	
Кондратьев Иван Васильевич	6794	Q15074432																		
Кондратьева Анна Васильевна	6795		Кондратьева просила Толстого сообщить адрес И. Ф. Наживина. Ответ Толстого: Дать адрес Наживина.																	
Кондратьев Иван	6792		Вязка 4, д. 49 (об учинении наказания Ивану Кондратьеву за слова: «государь де наш сидит ныне в заключении, и для того де выбирают из слобод нашу братью, чтоб его государя выручить»; 3 лл.																	
Кондратьев Иван (из дер. Мостовой)	6793		Податель сего крестьянин деревни Мостовой Иван Кондратьев рассказывал мне свое дело, которое я с трудом мог попять, п[отому] ч[то] оно совершенно необыкновенно. Брат его завладел всем наследством отца, утвердив себя в правах наследства через Окружной суд помимо других наследников. Вы, вероятно, поймете в чем дело из его слов и, вероятно, научите и поможете.																	
